Морковь, Китай, 5 тонн, 7050000 рублей
Консервированный горошек, Германия, 2 тонны, 14850000 рублей
Консервированный горошек, Венгрия, 1 тонна, 7050000 рублей
Сахар коричневый, Австралия, 15 тонн, 12340000 рублей
Детское питание 7 банок, Германия, 30 тонн, 1250000 рублей
зерно, Перу, 10 тонн, 12340000 рублей
Суповой набор мясной, Аргентина, 1 тонна, 500000 рублей
Курица (бедра или окорочка), Венгрия, 10 тонн, 12340000 рублей
Детское питание 7 банок, Венгрия, 1 тонна, 1250000 рублей
Петрушка, Китай, 5 тонн, 7050000 рублей
хлеб, Перу, 5 тонн, 14850000 рублей
яблоки, США, 50 тонн, 7050000 рублей
Молоко детское, Китай, 15 тонн, 12340000 рублей
Лимон, Германия, 5 тонн, 7050000 рублей
яблоки, Китай, 15 тонн, 1250000 рублей
Курица (бедра или окорочка), Китай, 5 тонн, 1000000 рублей
Консервированный горошек, Китай, 1 тонна, 1250000 рублей
Горчица, Перу, 5 тонн, 500000 рублей
Лимон, Германия, 20 тонн, 1250000 рублей
Стручковая фасоль, Аргентина, 1 тонна, 14850000 рублей
Молоко детское, Венгрия, 2 тонны, 1250000 рублей
Суповой набор куриный, Венгрия, 1 тонна, 14850000 рублей
Консервированный горошек, Венгрия, 20 тонн, 1250000 рублей
груши, Австралия, 5 тонн, 1000000 рублей
Кефир, США, 15 тонн, 14850000 рублей
шоколад, Германия, 5 тонн, 500000 рублей
Суповой набор мясной, Австрия, 5 тонн, 1250000 рублей
Томатная паста, США, 10 тонн, 1250000 рублей
Петрушка, Аргентина, 50 тонн, 1250000 рублей
Консервированный горошек, Китай, 50 тонн, 1250000 рублей
шоколад, Китай, 20 тонн, 1250000 рублей
Консервированный горошек, Китай, 50 тонн, 500000 рублей
Томатная паста, Венгрия, 5 тонн, 1250000 рублей
Масло сливочное, Австрия, 1 тонна, 14850000 рублей
Морковь, Австрия, 20 тонн, 1000000 рублей
шоколад, Германия, 20 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), Германия, 20 тонн, 14850000 рублей
Сахар коричневый, Перу, 50 тонн, 500000 рублей
Малиновое варенье, Австрия, 5 тонн, 1000000 рублей
Котлеты (домашний полуфабрикат), Австрия, 1 тонна, 14850000 рублей
Стручковая фасоль, Китай, 2 тонны, 7050000 рублей
Творог, США, 2 тонны, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Австралия, 2 тонны, 14850000 рублей
груши, Перу, 30 тонн, 14850000 рублей
Стручковая фасоль, Австралия, 15 тонн, 14850000 рублей
Сахар коричневый, Германия, 1 тонна, 500000 рублей
Курица (бедра или окорочка), Перу, 20 тонн, 7050000 рублей
Фрикадельки (домашний полуфабрикат), Перу, 2 тонны, 1000000 рублей
Томатная паста, Аргентина, 15 тонн, 7050000 рублей
Кошачий корм, США, 50 тонн, 1250000 рублей
Молоко детское, Венгрия, 50 тонн, 7050000 рублей
Баллончик со сливками, Германия, 20 тонн, 1000000 рублей
Стручковая фасоль, Аргентина, 2 тонны, 500000 рублей
яблоки, Австрия, 1 тонна, 1250000 рублей
рыба, Китай, 15 тонн, 1250000 рублей
шоколад, Германия, 15 тонн, 1250000 рублей
шоколад, Перу, 15 тонн, 14850000 рублей
Картофель, Австралия, 15 тонн, 7050000 рублей
масло, Австрия, 2 тонны, 7050000 рублей
Кошачий корм, Австралия, 30 тонн, 1000000 рублей
груши, США, 15 тонн, 14850000 рублей
хлеб, Аргентина, 30 тонн, 1000000 рублей
Томатная паста, Австрия, 30 тонн, 1250000 рублей
Петрушка, Перу, 2 тонны, 1250000 рублей
Консервированная кукуруза, Австралия, 1 тонна, 14850000 рублей
хлеб, Австралия, 30 тонн, 500000 рублей
Детское питание 7 банок, Китай, 50 тонн, 14850000 рублей
зерно, Австралия, 5 тонн, 1000000 рублей
Сметана, Австрия, 50 тонн, 12340000 рублей
Чеснок, Аргентина, 15 тонн, 12340000 рублей
Котлеты (домашний полуфабрикат), Австралия, 5 тонн, 12340000 рублей
Кошачий корм, Германия, 30 тонн, 7050000 рублей
Котлеты (домашний полуфабрикат), Австрия, 30 тонн, 7050000 рублей
Молоко детское, Китай, 10 тонн, 500000 рублей
Панировочные сухари, Австралия, 20 тонн, 7050000 рублей
Морковь, Аргентина, 2 тонны, 1000000 рублей
Кошачий корм, Аргентина, 10 тонн, 12340000 рублей
Стручковая фасоль, Аргентина, 20 тонн, 14850000 рублей
Молоко детское, Перу, 30 тонн, 12340000 рублей
Малиновое варенье, Венгрия, 1 тонна, 14850000 рублей
зерно, Перу, 50 тонн, 1250000 рублей
масло, Аргентина, 5 тонн, 7050000 рублей
Сгущенка, США, 15 тонн, 12340000 рублей
Горчица, США, 30 тонн, 14850000 рублей
